,date,follower_count,retweet_count,tweet,tweet_id,user_id,location,alt_location,is_retweet
2289,2018-12-13,2159,0,"With #AmazonHQ2 put to bed, Apple tabs Austin for new 5,000-worker #tech campus. Its the old steak and sizzle ana https://t.co/0cbplmlyHU",1073283220614057986,89021226,Austin,,False
2288,2018-12-13,480,0,Is it too late to switch out Amazon for Apple to move to LIC? Apple chose Austin TX for giant facility without a be https://t.co/V3CpfSCmE2,1073355229750591488,837760834952704000,Austin,,False
2287,2018-12-13,843,0,@NBCNews They would have suffered AmazonHQ2 fate in Atlanta..No Red Carpet.,1073307183083851776,29270000,Atlanta,,False
2303,2018-12-13,3769,2,"RT @BarefootRockU: In its effort to woo Amazon to New York, a top city official promised to alert the e-commerce giant to public records r",1073124130390728705,709828169,New York,,True
2296,2018-12-13,212,0,The #Amazon invasion in New York and Virginia will be a slow one #amazonhq2 #longislandcity #lic #queens https://t.co/znLo6d1tXf,1073326039420542976,62846953,New York,Virginia,False
2305,2018-12-13,648,1,RT @ClearAlly: New York is not Seattle #AmazonAnswersNYC #AmazonHQ2  https://t.co/M562gOcYGx,1073033268444913664,2519253583,New York,nyc,True
2313,2018-12-13,254,0,OH SHIT and my man picked Pittsburgh for #AmazonHQ2 https://t.co/fmuCa8GjBa,1073318133035880448,274299799,Pittsburgh,,False
2306,2018-12-13,771,0,"Oh, and unionize too.

#AmazonAnswersNYC #AmazonHQ2 #NoAmazomNYC #HQ2Scam https://t.co/IvXk5gQ6Ya",1073030491278852096,234704846,nyc,,False
2319,2018-12-13,273986,0,"After Thanksgiving traffic jams, Dulles and DCA are hoping #AmazonHQ2's arrival could help widen roads. https://t.co/plooh1dCBz",1073194071789756417,17906632,dc,,False
2318,2018-12-13,11215,4,South Arlingtons diverse residents worry about #AmazonHQ2-induced displacement. https://t.co/yq4xMTOnX5 https://t.co/HrG8nvlpls,1073322852940681221,235229195,Arlington,,False
2317,2018-12-13,705,4,RT @CurbedDC: South Arlingtons diverse residents worry about #AmazonHQ2-induced displacement. https://t.co/yq4xMTOnX5 https://t.co/HrG8nvl,1073324602108067840,3306587447,dc,Arlington,True
2316,2018-12-13,1983,4,RT @CurbedDC: South Arlingtons diverse residents worry about #AmazonHQ2-induced displacement. https://t.co/yq4xMTOnX5 https://t.co/HrG8nvl,1073326940529025024,905539072621518850,dc,Arlington,True
2315,2018-12-13,3259,4,RT @CurbedDC: South Arlingtons diverse residents worry about #AmazonHQ2-induced displacement. https://t.co/yq4xMTOnX5 https://t.co/HrG8nvl,1073335499375501314,100605030,dc,Arlington,True
2314,2018-12-13,4208,4,RT @CurbedDC: South Arlingtons diverse residents worry about #AmazonHQ2-induced displacement. https://t.co/yq4xMTOnX5 https://t.co/HrG8nvl,1073357810942001153,1907861946,dc,Arlington,True
2320,2018-12-13,6358,1,"RT @KeriShullTeam: GMU is expanding it's #ArlingtonVA campus in response to #AmazonHQ2 
https://t.co/uGKb1MHHA0",1073017537456234497,280837358,Arlington,,True
2311,2018-12-13,165,2,RT @WPXI: The world's biggest company is growing right here in Pittsburgh! How @CityofPgh failed #AmazonHQ2 bid may have helped it land App,1073354030901022720,868897937967001600,Pittsburgh,,True
2310,2018-12-13,0,476,"RT @virginia_tech: HISTORIC DAY: Amazon has chosen Virginia as the #AmazonHQ2 destination, thanks to plans for a revolutionary, #VirginiaTe",1073017271285620737,1072021287852236803,Virginia,,True
2309,2018-12-13,797,0,The Amazon effect is very real people!  Contact me to get a great place while there still available!! https://t.co/0NupfkPl19,1073030144938442754,575476085,,,False
2308,2018-12-13,478,5,"RT @GordonAChaffin: #AmazonHQ2 means Crystal City @WMATA station gets a 2nd, east entrance next to Crystal Dr. Great connection to Mt. Vern",1073081504950087680,9729112,,,True
2307,2018-12-13,345,1,New York is not Seattle #AmazonAnswersNYC #AmazonHQ2  https://t.co/M562gOcYGx,1073030230162448384,61588176,New York,nyc,False
2312,2018-12-13,189497,2,The world's biggest company is growing right here in Pittsburgh! How @CityofPgh failed #AmazonHQ2 bid may have help https://t.co/xuv0IVdKBE,1073346024910061568,14085146,Pittsburgh,,False
2270,2018-12-12,84917,4,"RT @GordonAChaffin: #AmazonHQ2 means Crystal City @WMATA station gets a 2nd, east entrance next to Crystal Dr. Great connection to Mt. Vern",1072964459990302722,21315320,,,True
2261,2018-12-12,2451,98,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072921777280569344,15904911,,,True
2268,2018-12-12,704,0,"I'm frankly surprised NY didn't offer to sacrifice young, virgin small business owners in flames lit atop the Empir https://t.co/68V34tbc5d",1072874289660157952,20704566,,,False
2267,2018-12-12,33472,0,"New York City releases its winning #AmazonHQ2 bid - After months of secrecy, the Big Apple becomes the 82nd bid to https://t.co/VbYVkEXEeG",1072876746209415168,124531391,New York,,False
2266,2018-12-12,12758,0,New York City releases its winning #AmazonHQ2 bid  MuckRock https://t.co/WEg12zXcZT,1072878930523123712,15970784,New York,,False
2265,2018-12-12,18,0,New York has always been a center of world-beating commerce. This ethos has brought the USA from the mud to the moo https://t.co/sCfP7HL3Me,1072884492556296193,1069595011031932928,New York,,False
2264,2018-12-12,1209,0,"This council hearing with Amazon execs over #AmazonHQ2 is so, SO new york.",1072887498882330624,93974035,New York,,False
2263,2018-12-12,3879,0,The New York City Council will hold the first of three planned hearings on Amazon moving into Long Island City... https://t.co/lYQ6z47EVk,1072887558479233024,437490089,New York,,False
2262,2018-12-12,2451,5,"RT @JoseMartiNews: Before the City Council hearing on Amazon, labor leaders, community members and amazon workers are joining groups across",1072921525995614208,15904911,,,True
2258,2018-12-12,18,0,@JohnKasich gets it. #AmazonHQ2 is a tremendous opportunity for New York City. These types of things dont come alo https://t.co/HbviZbERX5,1072924038937362432,1069595011031932928,New York,,False
2260,2018-12-12,312,5,"RT @JoseMartiNews: Before the City Council hearing on Amazon, labor leaders, community members and amazon workers are joining groups across",1072922099004727301,1048596745163329537,,,True
2259,2018-12-12,4322,5,"RT @JoseMartiNews: Before the City Council hearing on Amazon, labor leaders, community members and amazon workers are joining groups across",1072922162955079680,61415761,,,True
2257,2018-12-12,46448,1,NYC Council Looking Into Amazon Deal Made Behind Closed Doors https://t.co/Qfw9FvEyU9 CBS New York - via https://t.co/Dx1wGFHWnX,1072924050593325056,19544141,New York,nyc,False
2256,2018-12-12,979,0,"New York: ""We don't want Amazon's low-wages and abusive working conditions in our state!""

Alabama: ""If you build s https://t.co/l30MyYdhJM",1072939778096680961,980865674,New York,,False
2255,2018-12-12,370,0,"How do you create a union before new #AmazonHQ2 is built? Remember, you can get a union, at the same time #amazon c https://t.co/C79RRwIkkg",1072973003779178496,22984895,,,False
2254,2018-12-12,5901,0,#NewYork already has #thousands of #Amazon #workers  and some are #unionizing to #demand #BetterConditions https://t.co/LXbduv96XF,1072979241329979392,14229632,,,False
2253,2018-12-12,315,39,"RT @NoNewHQ: A zine version of Anti-Amazon propaganda is now available. It contains two pieces ""Against Amazon and its World"" and ""A Warnin",1072754223153070080,1224683882,,,True
2269,2018-12-12,355,4,"RT @GordonAChaffin: #AmazonHQ2 means Crystal City @WMATA station gets a 2nd, east entrance next to Crystal Dr. Great connection to Mt. Vern",1072965942513205259,114509015,,,True
2282,2018-12-12,480,1,RT @genideva: I asked William Rich from @DeltaAssociates  what interesting trends he could predict from the #AmazonHq2 opening In Arlington,1072989219696594944,400272584,Arlington,,True
2271,2018-12-12,508,4,"RT @GordonAChaffin: #AmazonHQ2 means Crystal City @WMATA station gets a 2nd, east entrance next to Crystal Dr. Great connection to Mt. Vern",1072964101389893632,773713891184545792,,,True
2280,2018-12-12,10975,0,"@JeffBezos @vbrownell Thanks @JeffBezos, #WashingtonDC is excited #Amazon is expanding here  lots of #future #tech https://t.co/CAL66F6M2N",1072685377071276033,18843840,dc,,False
2231,2018-12-12,33461,0,"New York City releases its winning #AmazonHQ2 bid - After months of secrecy, the Big Apple becomes the 82nd bid to https://t.co/VZIgAdjy7p",1072642444108447744,124531391,New York,,False
2286,2018-12-12,521,0,"In Conversation, with Rob Mandle and Alice Grossman, on the challenges and opportunities presented by Amazon HQ2 in https://t.co/eC3UpNXIXx",1072671904857800704,206959746,,,False
2285,2018-12-12,521,0,In Conversation on Amazon HQ2 coming to Arlington and the challenges and opportunities presented for affordable hou https://t.co/d0i0fOVbYK,1072674081353420802,206959746,Arlington,,False
2272,2018-12-12,839,4,"#AmazonHQ2 means Crystal City @WMATA station gets a 2nd, east entrance next to Crystal Dr. Great connection to Mt. https://t.co/fiGBxfyUlC",1072963909882179585,3254650533,,,False
2283,2018-12-12,2145,1,I asked William Rich from @DeltaAssociates  what interesting trends he could predict from the #AmazonHq2 opening In https://t.co/90Wze6LnGf,1072943535882678272,14814133,,,False
2281,2018-12-12,188,0,"GMU is expanding it's #ArlingtonVA campus in response to #AmazonHQ2 
https://t.co/rO8rVQUSm1",1072989516988846080,3004110003,Arlington,,False
2284,2018-12-12,1395,0,"""Amazon will invest $5 billion and create more than 50,000 jobs across the two new headquarters locations, with mor https://t.co/mlOUr8Z77v",1072881044423147521,50550794,,,False
2279,2018-12-12,4199,1,well this bodes well for the DC region cooperating on affordable housing goals with #AmazonHQ2 headed here... https://t.co/NU6lbdvTWH,1072871958302347264,1907861946,dc,,False
2277,2018-12-12,295,0,#Amazon #AmazonHQ2 and #transparency: I'm pleased that #Toronto's bid can be viewed online at the following url too: https://t.co/7VMII101JP,1072892556394999808,67022869,Toronto,,False
2276,2018-12-12,175,3,RT @toddhaymore: ICYMI: @ChmuraEcon analysis in @RTDBusiness of #amazonhq2 potential economic impact for Virginia. More on why this tremend,1072654494402600962,953276026813075457,Virginia,,True
2275,2018-12-12,684,1,New @virginia_tech campus key part of state's successful bid for @amazon HQ2 https://t.co/QLeWvKg9Pn via https://t.co/UYAVdUsLd7,1072672804657643521,28043779,Virginia,,False
2274,2018-12-12,838,1,RT @VinikEPS: New @virginia_tech campus key part of state's successful bid for @amazon HQ2 https://t.co/QLeWvKg9Pn via @roanoketimes #Hokie,1072701289702678528,3033215274,Virginia,,True
2273,2018-12-12,1435,7,"RT @mercatus: With the subsidies and perks they offered for #AmazonHQ2, Virginia could have reduced the corporate tax rates for all busines",1072925083797213184,972167316480974849,Virginia,,True
2278,2018-12-12,839,1,RT @AndrewGiambrone: well this bodes well for the DC region cooperating on affordable housing goals with #AmazonHQ2 headed here... https://,1072872046911242240,3254650533,dc,,True
2236,2018-12-11,284,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072637122677481472,892876559647858689,,,True
2240,2018-12-11,208,0,How did #NYC woo #Amazon to #LongIslandCity? #realestate #cre #commercialrealestate #cre #nycrealestate https://t.co/hPWDsKU5wc,1072630038665814016,62846953,nyc,dc,False
2239,2018-12-11,271,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072632218424655872,885956141540405248,,,True
2238,2018-12-11,1628,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072633057784541185,49551962,,,True
2237,2018-12-11,5264,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072635891296976897,834672494,,,True
2233,2018-12-11,184,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072640880551579648,2951793429,,,True
2235,2018-12-11,432,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072637823243702272,2813950865,,,True
2234,2018-12-11,2372,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072639823930949636,2247667190,,,True
2232,2018-12-11,3483,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072641896286175232,1155599094,,,True
2242,2018-12-11,942,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072628627282501632,311281119,,,True
2241,2018-12-11,2415,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072629398073950208,1539616603,,,True
2246,2018-12-11,502,1,"RT @GordonAChaffin: I put together all the transit commuting methods in National Landing together, *before* the improvements coinciding wit",1072611999199178752,773713891184545792,,,True
2243,2018-12-11,1893,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072626796577861632,2390372676,,,True
2245,2018-12-11,817,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072624262102614016,1342560042,,,True
2247,2018-12-11,837,1,"I put together all the transit commuting methods in National Landing together, *before* the improvements coinciding https://t.co/Mzx4xpSuuS",1072611650526687232,3254650533,,,False
2248,2018-12-11,158,0,"My team and I have some exciting news to share: Crystal City, #Virginia has been chosen as the site of one of Amazo https://t.co/0Eio1edHB3",1072598412640575488,1535744431,Virginia,,False
2249,2018-12-11,442,2,RT @toddhaymore: ICYMI: @ChmuraEcon analysis in @RTDBusiness of #amazonhq2 potential economic impact for Virginia. More on why this tremend,1072567258193559552,707222254355144704,Virginia,,True
2250,2018-12-11,2700,2,RT @toddhaymore: ICYMI: @ChmuraEcon analysis in @RTDBusiness of #amazonhq2 potential economic impact for Virginia. More on why this tremend,1072511677273387008,400228025,Virginia,,True
2251,2018-12-11,1022,1,RT @AlleghenyGreens: Mayor Peduto's 2019 budget calls for millions of dollars in cuts to affordable housing programs. Why is it #AmazonHQ2,1072603231220588545,2189460066,,,True
2252,2018-12-11,712,1,RT @AHStaff: From @arlington_media: A conversation about #AmazonHQ2 and  #AffordableHousing with @MichaelASpotts Delario Lindsey and Alice,1072286989284794368,1158703915,Arlington,,True
2244,2018-12-11,7157,26,"RT @FreeFairMarkets: Amazon is writing its own rules to hide the details of the #AmazonHQ2 sham. At tomorrows City Council meeting, we are",1072624963100774400,780479244702928897,,,True
2208,2018-12-10,438,7,"RT @mercatus: The state of New York offered Amazon subsidies and perks worth $1.7 billion over 15 years, but with that money they could hav",1072115959668838400,137145948,New York,,True
2214,2018-12-10,33232,1,"Working folks in Northern Virginia are very concerned about how #AmazonHQ2 will impact skyrocketing housing costs, https://t.co/CLphv1en6p",1072245867531378688,17294950,Virginia,,False
2213,2018-12-10,187,0,"A new study says that #amazonhq2 will bring $15 Billion and 62,000 new jobs by 2030 to the #DMV area! https://t.co/ukUm7RYkzv",1072270240137048064,3004110003,,,False
2212,2018-12-10,29532,7,"The state of New York offered Amazon subsidies and perks worth $1.7 billion over 15 years, but with that money they https://t.co/Y1QZ7wCAZX",1072111444135739392,14882554,New York,,False
2211,2018-12-10,8489,7,"RT @mercatus: The state of New York offered Amazon subsidies and perks worth $1.7 billion over 15 years, but with that money they could hav",1072111502994345985,461759120,New York,,True
2210,2018-12-10,11963,7,"RT @mercatus: The state of New York offered Amazon subsidies and perks worth $1.7 billion over 15 years, but with that money they could hav",1072114126292467712,155214257,New York,,True
2209,2018-12-10,84,7,"RT @mercatus: The state of New York offered Amazon subsidies and perks worth $1.7 billion over 15 years, but with that money they could hav",1072115132501815296,486779261,New York,,True
2204,2018-12-10,4668,0,Will @Amazon be good for #newyork? @npr @planetmoney new episode explores this topic. Two of our #Accounting profes https://t.co/kEIMD3x9Zc,1072159832373911552,39598688,,,False
2207,2018-12-10,8956,7,"RT @mercatus: The state of New York offered Amazon subsidies and perks worth $1.7 billion over 15 years, but with that money they could hav",1072118288937836550,17133872,New York,,True
2205,2018-12-10,14461,1,Aaron Petcoff and Danny Katch look at the numbers behind the deal to locate #Amazons new headquarters adjacent to https://t.co/LGw5v3l5zf,1072153322285604865,268630665,,,False
2216,2018-12-10,842,2,"RT @GilbaneBuilding: On Wednesday, Dec. 12, Gilbane's Clare Archer is moderating the @AGCDC panel on how the construction at Amazon and Vir",1072202795397337088,835825284,dc,,True
2203,2018-12-10,33,7,"RT @mercatus: The state of New York offered Amazon subsidies and perks worth $1.7 billion over 15 years, but with that money they could hav",1072175411260473344,884891520557608960,New York,,True
2202,2018-12-10,285,0,Rising opposition has Amazon shopping for help #amazon #amazonhq2 #nycdevelopment #buildingnyc https://t.co/kqfHgeujGt,1072181767480766464,100602822,nyc,,False
2201,2018-12-10,266,1,RT @CriticalReading: Aaron Petcoff and Danny Katch look at the numbers behind the deal to locate #Amazons new headquarters adjacent to New,1072186945290338305,299433439,,,True
2215,2018-12-10,20,2,"RT @GilbaneBuilding: On Wednesday, Dec. 12, Gilbane's Clare Archer is moderating the @AGCDC panel on how the construction at Amazon and Vir",1072221765512937473,806935313184657408,dc,,True
2206,2018-12-10,119,7,"RT @mercatus: The state of New York offered Amazon subsidies and perks worth $1.7 billion over 15 years, but with that money they could hav",1072124891548143618,941124000444379136,New York,,True
2217,2018-12-10,22620,2,"On Wednesday, Dec. 12, Gilbane's Clare Archer is moderating the @AGCDC panel on how the construction at Amazon and https://t.co/j7Rrfo0zzM",1072202436167786497,52426577,dc,,False
2225,2018-12-10,273901,1,Should D.C. expect a dramatic acceleration in home price appreciation once Amazon starts marching its army of https://t.co/JxPrZvXfo8,1072154974732177408,17906632,D.C.,,False
2218,2018-12-10,133,0,"A new study says that #amazonhq2 will bring $15 Billion and 62,000 new jobs by 2030 to the #DMV area. How do you th https://t.co/w36VpjwQB5",1072193234930147328,16177300,,,False
2230,2018-12-10,905,0,From @arlington_media: A conversation about #AmazonHQ2 and  #AffordableHousing with @MichaelASpotts Delario Lindsey https://t.co/Pf2sKcjiqO,1072153617153560576,338705017,Arlington,,False
2229,2018-12-10,6752,0,"A new squeeze on the DC housing market could accelerate the revolving door between congressional work and K Street, https://t.co/xhcoWdJwYZ",1072224183499808768,17547736,dc,,False
2228,2018-12-10,499,0,@GordonAChaffin #bikedc #AmazonHQ2 #HQ2 #Amazon #VA #VAcommute #DC #DCcommute,1072238910565167105,773713891184545792,dc,,False
2227,2018-12-10,580,0,Mayor Peduto's 2019 budget calls for millions of dollars in cuts to affordable housing programs. Why is it https://t.co/xDsR05R50K,1071957544933965825,857062476961251328,,,False
2226,2018-12-10,124,0,#AmazonHQ2 placed #Virginia on a global market. Will the bubble burst as things settle down or #NorthernVirginia is https://t.co/QunDL0GF4F,1072116371968925696,134784967,Virginia,,False
2224,2018-12-10,1863,1,RT @WTOP: Should D.C. expect a dramatic acceleration in home price appreciation once Amazon starts marching its army of #AmazonHQ2 employee,1072155261811474432,426843786,D.C.,,True
2223,2018-12-10,492,1,Nueva York y Viriginia fueron las 2 ganadoras en el megaconcurso de Amazon para instalar sus nuevas oficinas https://t.co/50ON18f7Bz,1072167311082209280,2421070166,,,False
2222,2018-12-10,26,1,RT @BienesRaicesAme: Nueva York y Viriginia fueron las 2 ganadoras en el megaconcurso de Amazon para instalar sus nuevas oficinas https://t,1072170406726000641,2355066674,,,True
2221,2018-12-10,648,0,"A new study says that #amazonhq2 will bring $15 Billion and 62,000 new jobs by 2030 to the #DMV area! https://t.co/7JHfCWNLnt",1072171089122484224,373032873,,,False
2220,2018-12-10,2786,0,ICYMI: @ChmuraEcon analysis in @RTDBusiness of #amazonhq2 potential economic impact for Virginia. More on why this https://t.co/cbf5SjExZX,1072175885611077632,2744880320,Virginia,,True
2219,2018-12-10,26,0,"A new study says that #amazonhq2 will bring $15 Billion and 62,000 new jobs by 2030 to the #DMV area! https://t.co/1rrHut7zuB",1072181152000151552,1043145467390058496,,,False
2196,2018-12-09,1384,6,"RT @mercatus: With the subsidies and perks they offered for #AmazonHQ2, Virginia could have reduced the corporate tax rates for all busines",1071839280899743744,817193526521892864,Virginia,,True
2191,2018-12-09,985,6,"RT @mercatus: With the subsidies and perks they offered for #AmazonHQ2, Virginia could have reduced the corporate tax rates for all busines",1071879684122648576,143593327,Virginia,,True
2192,2018-12-09,227,6,"RT @mercatus: With the subsidies and perks they offered for #AmazonHQ2, Virginia could have reduced the corporate tax rates for all busines",1071856704273342465,601989599,Virginia,,True
2194,2018-12-09,594,6,"RT @mercatus: With the subsidies and perks they offered for #AmazonHQ2, Virginia could have reduced the corporate tax rates for all busines",1071845947070668800,33284774,Virginia,,True
2195,2018-12-09,152,3,RT @vtnews: #AmazonHQ2 inspires boosted computer education throughout Virginia: This is an immense gap that must be filled with some urgen,1071842078710267909,1260311389,Virginia,,True
2193,2018-12-09,71,6,"RT @mercatus: With the subsidies and perks they offered for #AmazonHQ2, Virginia could have reduced the corporate tax rates for all busines",1071848316634157056,203820278,Virginia,,True
2197,2018-12-09,1507,6,"RT @mercatus: With the subsidies and perks they offered for #AmazonHQ2, Virginia could have reduced the corporate tax rates for all busines",1071839028700418049,43432321,Virginia,,True
2199,2018-12-09,1799,1,"RT @BostonReview: What is in store for Long Island City and Virginia as the sites for #AmazonHQ2? 

For a start, pickers and packersthe co",1071818251469012994,419652679,Boston,Virginia,True
2200,2018-12-09,36175,1,"What is in store for Long Island City and Virginia as the sites for #AmazonHQ2? 

For a start, pickers and packers https://t.co/1PAzWOp3HT",1071810461342056450,36969470,Virginia,,False
2198,2018-12-09,29537,6,"With the subsidies and perks they offered for #AmazonHQ2, Virginia could have reduced the corporate tax rates for a https://t.co/9md8HNvH5h",1071838898412773377,14882554,Virginia,,False
2186,2018-12-08,1247,6,"RT @jwjnational: Working folks in Northern Virginia are very concerned about how #AmazonHQ2 will impact skyrocketing housing costs, educati",1071451999185526784,49172121,Virginia,,True
2181,2018-12-08,29537,0,"Instead of offering Amazon subsidies and perks, Nashville could have educated 156 public school students each year https://t.co/R7l7YEDhbl",1071429953168781313,14882554,Nashville,,False
2182,2018-12-08,3121,0,@JDavidsonNYC @freedlander @amazon @SenGianaris @NYCSpeakerCoJo @Ocasio2018 #AmazonHQ2 so subverted its PR with Cuo https://t.co/WbGZDfCR0R,1071222521100406784,21431335,nyc,,False
2184,2018-12-08,204,6,"RT @jwjnational: Working folks in Northern Virginia are very concerned about how #AmazonHQ2 will impact skyrocketing housing costs, educati",1071467390867775491,60519367,Virginia,,True
2185,2018-12-08,4286,6,"RT @jwjnational: Working folks in Northern Virginia are very concerned about how #AmazonHQ2 will impact skyrocketing housing costs, educati",1071462320692441088,50031992,Virginia,,True
2183,2018-12-08,4661,0,Will @Amazon be good for #newyork? @npr @planetmoney new episode explores this topic. Two of our #Accounting profes https://t.co/pBGejoTBNv,1071407418167447552,39598688,,,False
2187,2018-12-08,1651,6,"RT @jwjnational: Working folks in Northern Virginia are very concerned about how #AmazonHQ2 will impact skyrocketing housing costs, educati",1071449501741797377,768160176448864256,Virginia,,True
2188,2018-12-08,33210,6,"Working folks in Northern Virginia are very concerned about how #AmazonHQ2 will impact skyrocketing housing costs, https://t.co/QUqHxMCdK1",1071441892137680896,17294950,Virginia,,False
2189,2018-12-08,3894,0,Amazons Va. headquarters expected to have $15 billion economic impact by 2030 - https://t.co/CuV1bSf39I #AmazonHQ2,1071429246952923136,9864112,,,False
2190,2018-12-08,1232,0,WashPost says the competition for Redskins stadium is mostly a DC-MD race now b/c winning #AmazonHQ2 (w/ 25K jobs) https://t.co/jJm75bGnYT,1071433202542231553,14896173,dc,,False
2157,2018-12-07,185,0,Makes you realize #Denver dodged a bullet with #AmazonHQ2  https://t.co/LhcOr12vOD,1070923341165420545,60199878,Denver,,False
2168,2018-12-07,1091,2,RT @vtnews: #AmazonHQ2 inspires boosted computer education throughout Virginia: This is an immense gap that must be filled with some urgen,1071174628016566273,248414721,Virginia,,True
2158,2018-12-07,656,14,"RT @mercatus: Instead of giving Amazon subsidies and perks worth $1.7 billion over 15 years, New York State could have used this money to p",1071071322229403648,3311211399,New York,,True
2159,2018-12-07,291,14,"RT @mercatus: Instead of giving Amazon subsidies and perks worth $1.7 billion over 15 years, New York State could have used this money to p",1071025741972803585,15461461,New York,,True
2160,2018-12-07,219,0,"So, #AmazonHQ2 chose New York?!! How cliche and obvious!? Why go through the whole hoopla?",1071018281165864960,1852705856,New York,,False
2161,2018-12-07,2027,14,"RT @mercatus: Instead of giving Amazon subsidies and perks worth $1.7 billion over 15 years, New York State could have used this money to p",1071004215777079301,2826835662,New York,,True
2162,2018-12-07,6980,2,"RT @warren_deondra: Italy , New York, London, California, Amazon, Im ready to do business, Jewelry Designs #AmazonHQ2 #Italy #London #Cal",1070961448485048321,2828174832,New York,,True
2163,2018-12-07,8349,2,"RT @warren_deondra: Italy , New York, London, California, Amazon, Im ready to do business, Jewelry Designs #AmazonHQ2 #Italy #London #Cal",1070957144856502273,2294341010,New York,,True
2164,2018-12-07,71,2,"Italy , New York, London, California, Amazon, Im ready to do business, Jewelry Designs #AmazonHQ2 #Italy #London https://t.co/cln3WEdkSq",1070872664338825216,979868483696566272,New York,,False
2165,2018-12-07,234,14,"RT @mercatus: Instead of giving Amazon subsidies and perks worth $1.7 billion over 15 years, New York State could have used this money to p",1070863283534614528,1114629612,New York,,True
